127.0.0.1 - - [10/Nov/2017:15:43:45 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/login.xhtml HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/core.js.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/components.js.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24392
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 29092
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=img HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /livraria/javax.faces.resource/components.css.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04?ln=primefaces&v=6.0 HTTP/1.1" 200 75425
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:50 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:54 -0200] "GET /livraria/javax.faces.resource/forms/password-meter.png.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "POST /livraria/login.xhtml;jsessionid=99FDC006C7D6EF27A1571FAF3C5BCF04 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 200 20590
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 75425
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:43:57 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:03 -0200] "POST /livraria/livro.xhtml HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:04 -0200] "POST /livraria/livro.xhtml HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:24 -0200] "GET /livraria/ring.xhtml HTTP/1.1" 200 11679
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:24 -0200] "GET /livraria/javax.faces.resource/ring/ring.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 16257
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:24 -0200] "GET /livraria/javax.faces.resource/ring/ring.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [10/Nov/2017:15:44:45 -0200] "GET /livraria/carousel.xhtml HTTP/1.1" 200 11956
